name	x	y	z	size
A1	-53.2873039245605	-55.6536026000977	24.3843936920166	0
A2	-55.1681098937988	-45.4367980957031	26.0126094818115	0
A3	-56.2979049682617	-40.3730239868164	31.192419052124	0
A4	-57.7817497253418	-34.1463012695312	21.6382999420166	0
A5	-56.6567687988281	-27.07253074646	14.8004808425903	0
A6	-58.5125007629395	-19.5494422912598	19.0492038726807	0
A7	-62.1597900390625	-7.17465829849243	21.6411781311035	0
A8	-61.5343551635742	0.679725170135498	24.8592014312744	0
A9	-42.2475700378418	3.85895419120789	28.009313583374	0
A10	-36.2971420288086	6.30203723907471	26.4471130371094	0
A11	-4.50828170776367	25.8214378356934	-27.3898048400879	0
A12	-30.8603916168213	24.8245601654053	2.53247022628784	0
A13	-40.9885635375977	22.689058303833	-14.6204805374146	0
A14	-41.4437255859375	27.0247383117676	-17.4836921691895	0
A15	-28.2869262695312	46.9411697387695	-14.183687210083	0
A16	-21.8248481750488	60.856128692627	-15.5034818649292	0
A17	-33.3083839416504	3.29376220703125	-44.0627326965332	0
A18	-22.8781852722168	5.52318906784058	-44.7745895385742	0
A19	-29.5981559753418	-7.76935338973999	-27.3658809661865	0
A20	-31.8729190826416	-9.51529979705811	-26.6533699035645	0
A21	-36.1746368408203	-15.209997177124	-19.6814460754395	0
A22	-35.2853660583496	-18.2645359039307	-17.3524227142334	0
A23	-30.557804107666	-19.9056129455566	-13.8464412689209	0
A24	-23.4286880493164	-21.8645038604736	-12.0772380828857	0
A25	-20.6840209960938	3.62356615066528	-39.6204299926758	0
A26	-16.018726348877	-9.62511825561523	-27.1767082214355	0
A27	-18.910665512085	-14.0985612869263	-33.1110305786133	0
A28	-23.582836151123	-20.360782623291	-33.2459869384766	0
A29	-26.93039894104	-24.0276985168457	-31.5030155181885	0
A30	-30.022705078125	-26.0847511291504	-28.8488254547119	0
A31	-57.8887710571289	-10.3923320770264	-29.4042816162109	0
A32	-43.3387832641602	-30.8354606628418	-23.9022274017334	0
A33	-40.1415138244629	-33.9784507751465	-26.1012001037598	0
A34	-34.1842842102051	-38.3471717834473	-27.5286502838135	0
A35	-29.9484748840332	-52.9697341918945	-8.77208995819092	0
A36	-27.3071784973145	-53.2408256530762	-7.8746337890625	0
A37	-44.5266036987305	-75.6288223266602	3.36478161811829	0
A38	-48.5337028503418	-64.6655120849609	-7.45751476287842	0
A39	-46.0761642456055	-70.2530288696289	-7.28784656524658	0
A40	-45.3349533081055	-77.2560195922852	-7.76568746566772	0
A41	-35.2462768554688	-78.2327346801758	-15.5662593841553	0
A42	-30.9896850585938	-74.2013854980469	-17.212215423584	0
A43	-28.8322200775146	-73.0177001953125	-16.49365234375	0
A44	-27.1409969329834	-72.6776809692383	-13.8986911773682	0
A45	-24.9222984313965	-73.9712677001953	-6.41729831695557	0
A46	-2.8447904586792	-71.393798828125	6.0060601234436	0
A47	-32.2884330749512	-91.7512588500977	-6.25115871429443	0
A48	-32.3364524841309	-84.4915924072266	5.10585069656372	0
A49	-44.944881439209	-81.0296859741211	22.2012825012207	0
A50	-17.4814643859863	-87.275390625	24.3896942138672	0
A51	-20.5726432800293	-88.7951431274414	29.7198905944824	0
A52	-16.978816986084	-83.1592330932617	40.169075012207	0
A53	-16.4554023742676	-79.244384765625	41.0717697143555	0
A54	-27.3192939758301	-58.9837265014648	56.3732490539551	0
A55	-27.269214630127	-60.2408218383789	62.0826950073242	0
A56	-33.9413871765137	-49.0752563476562	65.1937637329102	0
A61	-40.3025283813477	6.45377588272095	57.6001091003418	0
A62	-29.0934867858887	10.1210966110229	56.0638427734375	0
B01	-37.533130645752	15.4812545776367	29.0578346252441	0
B02	-38.0554161071777	7.27364826202393	35.3795356750488	0
B03	-42.3906440734863	1.33788466453552	37.8789672851562	0
B04	-50.6220703125	3.20150232315063	46.0951538085938	0
B05	-49.9477958679199	1.89232861995697	49.100414276123	0
B06	-37.0240478515625	-16.2717361450195	42.5694046020508	0
B07	-29.554407119751	-25.9567108154297	54.6000480651855	0
B08	-24.1477947235107	-36.9318771362305	61.5041885375977	0
B09	-27.0903415679932	35.6393737792969	31.6302070617676	0
B10	-27.0915832519531	36.5202827453613	35.5893630981445	0
B11	-30.8359985351562	15.2093048095703	47.9099311828613	0
B12	-26.806095123291	12.5134735107422	47.2308654785156	0
B13	-21.6211433410645	6.25957250595093	51.1405563354492	0
B14	-24.682186126709	-16.4602298736572	71.3783645629883	0
B15	-25.03271484375	-23.2249202728271	71.8346939086914	0
B16	-5.40266275405884	-39.007698059082	74.445671081543	0
B17	-24.828296661377	39.7561264038086	34.992015838623	0
B18	-26.4542903900146	25.231502532959	37.1886444091797	0
B19	-28.5426139831543	16.7717189788818	43.979736328125	0
B20	-25.5722484588623	15.4736862182617	44.2646484375	0
B21	-22.2383918762207	4.28227138519287	60.7387199401855	0
B22	-18.3349075317383	-14.2661666870117	62.6282424926758	0
B23	-2.46631860733032	-40.9144287109375	62.2403373718262	0
B24	-4.78958940505981	-44.1938247680664	69.995719909668	0
B25	-21.7549247741699	40.7536659240723	34.7147903442383	0
B26	-21.5112285614014	27.0758247375488	39.241828918457	0
B27	-23.1412353515625	21.811954498291	40.5056533813477	0
B28	-13.2043170928955	7.19564819335938	67.8789978027344	0
B29	-17.7941780090332	3.95424795150757	70.958625793457	0
B30	-2.54588675498962	-29.546594619751	53.116943359375	0
B31	-14.8139553070068	-37.4825553894043	42.431022644043	0
B32	-4.86502313613892	-44.3673439025879	42.6241493225098	0
B33	-13.7652359008789	57.7961959838867	26.9294624328613	0
B34	-6.41224908828735	52.4245719909668	16.3487319946289	0
B35	-7.88632488250732	15.1091661453247	47.1465225219727	0
B36	-3.34675455093384	10.6102094650269	61.1596565246582	0
B37	-7.29774379730225	-16.0418891906738	46.2431449890137	0
B38	-7.77525854110718	-25.2509346008301	48.2266998291016	0
B39	-14.2187299728394	-34.8053779602051	41.2645797729492	0
B40	-10.2991514205933	-35.4116401672363	43.6320495605469	0
B41	-4.75028991699219	60.6172485351562	15.6044492721558	0
B42	-5.36423301696777	56.2093811035156	12.0836544036865	0
B43	-8.56901741027832	14.021107673645	46.0261039733887	0
B44	-5.19514846801758	11.1656875610352	54.4104194641113	0
B45	-10.4742774963379	-8.62511253356934	45.2836265563965	0
B46	-13.7094755172729	-20.7543964385986	42.0169448852539	0
B47	-12.786958694458	-24.0421180725098	39.2001113891602	0
B48	-9.3977222442627	-31.6458015441895	43.4632949829102	0
B49	-4.62448263168335	64.7306365966797	3.69509768486023	0
B50	-5.60984802246094	61.4878005981445	8.74795722961426	0
B51	-9.4491138458252	14.2150726318359	40.0487174987793	0
B52	-9.83011817932129	12.4687433242798	40.0537948608398	0
B53	-9.99477005004883	-3.35789442062378	42.971019744873	0
B54	-10.167275428772	-7.88785171508789	43.1009140014648	0
B55	-11.6847019195557	-17.9011783599854	40.0839157104492	0
B56	0.976831138134003	-39.7102432250977	17.9801292419434	0
B57	-4.27878427505493	64.4367828369141	-14.5265684127808	0
B58	-15.0500764846802	-25.1981601715088	-11.9225645065308	0
B59	-12.7262840270996	-26.9683380126953	-6.62333297729492	0
B60	-9.19902515411377	-28.7313194274902	-2.62925028800964	0
B61	-7.39242696762085	-30.3997802734375	3.84542536735535	0
B62	-7.18932485580444	-31.4534606933594	8.81464385986328	0
B63	1.02736639976501	-37.6888465881348	7.35395812988281	0
B64	0.993969440460205	-42.7889518737793	13.8458786010742	0
C1	-25.0904769897461	51.7799873352051	2.05990123748779	0
C2	-26.3117637634277	49.2911262512207	14.2165832519531	0
C3	-28.9110774993896	46.7586059570312	19.7309303283691	0
C4	-43.9092712402344	38.3699264526367	24.8245429992676	0
C5	-43.252799987793	36.6151809692383	27.5266361236572	0
C6	-4.71499919891357	64.0061874389648	17.3900241851807	0
C7	-14.6181230545044	58.0471305847168	25.6018733978271	0
C8	-19.8199195861816	51.6672592163086	30.6939506530762	0
C9	-27.173267364502	41.8652496337891	33.0865516662598	0
C10	-34.8395004272461	34.9225082397461	31.7248191833496	0
