name	x	y	z	size
A1	-29.2481784820557	-38.4016571044922	-25.9087734222412	0
A2	-30.3271369934082	-31.8174171447754	-26.6139068603516	0
A3	-27.5845069885254	-21.1808261871338	-32.9510269165039	0
A4	-26.3873805999756	-13.2088851928711	-36.3664627075195	0
A5	-27.95920753479	-3.92563486099243	-38.5615463256836	0
A6	-23.6240291595459	3.34234857559204	-44.9519462585449	0
A7	-36.4847450256348	8.80131435394287	-41.4462928771973	0
A8	-42.9339752197266	18.4546775817871	-33.7277565002441	0
A9	-46.1615371704102	17.7152614593506	-27.8223819732666	0
A10	-49.1749496459961	15.9429950714111	-20.2506446838379	0
A11	-21.1925773620605	-19.8540153503418	-32.2482109069824	0
A12	-29.7901802062988	-19.3401393890381	-32.8629341125488	0
A13	-40.8566589355469	-12.9368133544922	-38.7519149780273	0
A14	-51.1870651245117	-13.3724346160889	-41.3402786254883	0
A15	-52.2225761413574	-10.9022483825684	-36.3889274597168	0
A16	-59.260425567627	-4.30782413482666	-31.2101993560791	0
A17	-28.4665012359619	-56.3831672668457	-19.0324974060059	0
A18	-39.8743705749512	-50.6688575744629	-23.5339679718018	0
A19	-51.8605117797852	-43.8762283325195	-28.7124118804932	0
A20	-54.4077682495117	-38.944881439209	-30.8097286224365	0
A21	-55.6275863647461	-35.1150894165039	-30.9970092773438	0
A22	-58.0095634460449	-30.8143215179443	-31.5958499908447	0
A23	-67.0265350341797	-22.5240135192871	-17.7955150604248	0
A24	-67.149040222168	-19.2520179748535	-16.9018840789795	0
A25	-36.6859817504883	-87.2694244384766	-19.0950794219971	0
A26	-40.4958610534668	-82.6911010742188	-17.5814208984375	0
A27	-43.7257919311523	-71.2555999755859	-18.5915107727051	0
A28	-53.6163024902344	-63.5331916809082	-7.51708078384399	0
A29	-55.5694885253906	-58.7641410827637	-5.71915769577026	0
A30	-64.5603408813477	-46.9283676147461	-6.09631872177124	0
A31	-66.1386566162109	-41.1719017028809	-6.38364315032959	0
A32	-66.5051498413086	-36.6821899414062	-11.1966781616211	0
A33	-14.9343852996826	39.4532890319824	-25.3536109924316	0
A34	-17.4315204620361	36.5684967041016	-23.986198425293	0
A35	-23.5986518859863	35.4273948669434	-15.045862197876	0
A36	-37.8473930358887	25.3097953796387	-20.3674755096436	0
A37	-46.0541000366211	34.292407989502	-17.3609161376953	0
A38	-47.6821174621582	30.899097442627	-15.8114318847656	0
A39	-21.4826946258545	63.705322265625	8.84172058105469	0
A40	-25.4086151123047	61.9526443481445	14.2107162475586	0
A41	-24.719066619873	49.7505722045898	23.3561820983887	0
A42	-38.2589836120605	50.0638580322266	20.0375022888184	0
A43	-40.7814102172852	45.6258430480957	24.0805053710938	0
A44	-30.9619083404541	54.2741813659668	-3.74565553665161	0
A45	-40.3155555725098	52.0070266723633	1.19217753410339	0
A46	-41.5514297485352	51.9577560424805	6.34705400466919	0
A47	-40.1640129089355	48.7091255187988	15.8340301513672	0
A48	-40.407958984375	45.9349899291992	19.5846271514893	0
B1	-38.413257598877	44.1499137878418	26.5606079101562	0
B2	-33.2012748718262	29.0188961029053	43.2467460632324	0
B3	-36.8322334289551	27.2313175201416	42.2498779296875	0
B4	-37.709400177002	22.2061004638672	51.4687004089355	0
B5	-39.3374557495117	13.3165225982666	56.0884590148926	0
B6	-42.5201377868652	9.46975421905518	53.1016044616699	0
B7	-47.3774490356445	3.44896554946899	49.0994110107422	0
