name	x	y	z	size
A1	-56.7978134155273	-55.2338981628418	-21.9435234069824	0
A2	-57.5616455078125	-55.8047256469727	-20.6096706390381	0
A3	-65.5187225341797	-38.6328582763672	-12.9555644989014	0
A4	-65.201530456543	-42.279857635498	7.28835439682007	0
A5	-64.0368881225586	-42.0705680847168	17.2497158050537	0
A6	-55.3324813842773	-43.8873977661133	20.9656867980957	0
A7	-56.675121307373	-39.5397529602051	31.5022926330566	0
A8	-50.691276550293	-27.2215690612793	42.2537841796875	0
A9	-50.7619400024414	-18.8164310455322	58.4950942993164	0
A10	-44.4062576293945	-18.5207176208496	47.6325645446777	0
A11	-35.0058212280273	-26.5121040344238	-24.4881858825684	0
A12	-40.2313766479492	-23.7890567779541	-23.8390769958496	0
A13	-31.4788265228271	-5.39174795150757	-37.1803817749023	0
A14	-18.5752906799316	-5.63544321060181	-33.7412490844727	0
A15	-23.2583198547363	-7.01285409927368	-28.1404056549072	0
A16	-36.2064361572266	-13.8289089202881	-21.2607669830322	0
A17	-36.4916152954102	-16.1797561645508	-19.4080410003662	0
A18	-35.9140548706055	-18.0751419067383	-17.6294956207275	0
A19	-47.9761123657227	-5.66158294677734	-38.2151069641113	0
A20	-42.375129699707	-6.70768642425537	-46.3610076904297	0
A21	-41.0528182983398	-24.7078342437744	-23.4899063110352	0
A22	-34.9946975708008	-25.4369106292725	-24.8219299316406	0
A23	-29.0940055847168	-29.7733917236328	-23.4957523345947	0
A24	-27.6466789245605	-30.6250972747803	-24.1185646057129	0
A25	-68.328857421875	-25.2389717102051	-15.6435775756836	0
A26	-65.9020690917969	-22.1016597747803	-18.9040546417236	0
A27	-64.1074600219727	-20.3249111175537	-20.9043521881104	0
A28	-43.9160995483398	-36.6741256713867	-27.4810886383057	0
A29	-36.5482559204102	-44.0414619445801	-25.802059173584	0
A30	-28.670919418335	-54.8420944213867	-8.85311698913574	0
A31	-52.6621894836426	-38.1977920532227	26.036792755127	0
A32	-50.4016456604004	-42.8683700561523	26.4491062164307	0
A33	-62.6106071472168	-39.9878616333008	16.7444400787354	0
